Z,element,mass,electronegativity,row,group,mendeleev_no,character,atomic_radii,0_subshell_symmetry,0_subshell_energy,0_subshell_occupancy,1_subshell_symmetry,1_subshell_energy,1_subshell_occupancy,2_subshell_symmetry,2_subshell_energy,2_subshell_occupancy
48,Cd,112.411,1.69,5,12,75.0,d,1.55,s,-0.204228,1.0,d,-0.47053,1.0,p,-2.39526,1.0
49,In,114.818,1.78,5,13,79.0,p,1.55,p,-0.101782,0.16666666666666666,s,-0.290497,1.0,d,-0.730481,1.0
50,Sn,118.71,1.96,5,14,83.0,p,1.45,p,-0.14445,0.3333333333333333,s,-0.369349,1.0,d,-1.004952,1.0
51,Sb,121.76,2.05,5,15,88.0,p,1.45,p,-0.185623,0.5,s,-0.445605,1.0,d,-1.297338,1.0
52,Te,127.6,2.1,5,16,92.0,p,1.4,p,-0.226594,0.6666666666666666,s,-0.520997,1.0,d,-1.608381,1.0
53,I,126.90447,2.66,5,17,97.0,p,1.4,p,-0.267904,0.8333333333333334,s,-0.596339,1.0,d,-1.938179,1.0
54,Xe,131.293,2.6,5,18,5.0,p,,p,-0.309835,1.0,s,-0.672086,1.0,d,-2.286666,1.0
55,Cs,132.9054519,0.79,6,1,8.0,s,2.6,s,-0.078699,0.5,p,-0.504903,1.0,s,-0.915819,1.0
56,Ba,137.327,0.89,6,2,14.0,s,2.15,s,-0.118967,1.0,p,-0.698605,1.0,s,-1.157159,1.0
57,La,138.90547,1.1,8,3,33.0,f,1.95,s,-0.132233,1.0,d,-0.141085,0.1,p,-0.824498,1.0
58,Ce,140.116,1.12,8,4,32.0,f,1.85,s,-0.133974,1.0,d,-0.14055,0.1,f,-0.337442,0.07142857142857142
59,Pr,140.90765,1.13,8,5,31.0,f,1.85,s,-0.124465,1.0,f,-0.155138,0.21428571428571427,p,-0.778046,1.0
60,Nd,144.242,1.14,8,6,30.0,f,1.85,s,-0.125796,1.0,f,-0.179508,0.2857142857142857,p,-0.798503,1.0
61,Pm,145.0,1.13,8,7,29.0,f,1.85,s,-0.127053,1.0,f,-0.200159,0.35714285714285715,p,-0.817702,1.0
62,Sm,150.36,1.17,8,8,28.0,f,1.85,s,-0.128259,1.0,f,-0.21776,0.42857142857142855,p,-0.835987,1.0
63,Eu,151.964,1.2,8,9,18.0,f,1.85,s,-0.129426,1.0,f,-0.232773,0.5,p,-0.853575,1.0
64,Gd,157.25,1.2,8,10,27.0,f,1.8,d,-0.12722,0.1,s,-0.143627,1.0,f,-0.489012,0.5
65,Tb,158.92535,1.1,8,11,26.0,f,1.75,s,-0.131677,1.0,f,-0.256311,0.6428571428571429,p,-0.88723,1.0
66,Dy,162.5,1.22,8,12,24.0,f,1.75,s,-0.132769,1.0,f,-0.265302,0.7142857142857143,p,-0.90349,1.0
67,Ho,164.93032,1.23,8,13,23.0,f,1.75,s,-0.133845,1.0,f,-0.272677,0.7857142857142857,p,-0.919463,1.0
68,Er,167.259,1.24,8,14,22.0,f,1.75,s,-0.134905,1.0,f,-0.278577,0.8571428571428571,p,-0.935202,1.0
69,Tm,168.93421,1.25,8,15,21.0,f,1.75,s,-0.135953,1.0,f,-0.28312,0.9285714285714286,p,-0.950748,1.0
70,Yb,173.04,1.1,8,16,17.0,f,1.75,s,-0.136989,1.0,f,-0.286408,1.0,p,-0.966137,1.0
71,Lu,174.967,1.27,8,17,20.0,d,1.75,d,-0.103686,0.1,s,-0.155112,1.0,f,-0.568096,1.0
72,Hf,178.49,1.3,6,4,50.0,d,1.55,d,-0.143805,0.2,s,-0.166465,1.0,f,-0.871574,1.0
73,Ta,180.94788,1.5,6,5,52.0,d,1.45,s,-0.174814,1.0,d,-0.182464,0.3,f,-1.199347,1.0
74,W,183.84,2.36,6,6,55.0,d,1.35,s,-0.181413,1.0,d,-0.220603,0.4,p,-1.504457,1.0
75,Re,186.207,1.9,6,7,58.0,d,1.35,s,-0.186859,1.0,d,-0.258639,0.5,p,-1.631227,1.0
76,Os,190.23,2.2,6,8,63.0,d,1.3,s,-0.191489,1.0,d,-0.296791,0.6,p,-1.757404,1.0
77,Ir,192.217,2.2,6,9,66.0,d,1.35,s,-0.195511,1.0,d,-0.335189,0.7,p,-1.883349,1.0
78,Pt,195.084,2.28,6,10,68.0,d,1.35,s,-0.161308,0.5,d,-0.273634,0.9,p,-1.884256,1.0
79,Au,196.966569,2.54,6,11,70.0,d,1.35,s,-0.162334,0.5,d,-0.304738,1.0,p,-2.002495,1.0
80,Hg,200.59,2.0,6,12,74.0,d,1.5,s,-0.205137,1.0,d,-0.452552,1.0,p,-2.261975,1.0
81,Tl,204.3833,1.62,6,13,78.0,p,1.9,p,-0.101507,0.16666666666666666,s,-0.28502,1.0,d,-0.674544,1.0
82,Pb,207.2,2.33,6,14,82.0,p,1.8,p,-0.141831,0.3333333333333333,s,-0.357187,1.0,d,-0.902393,1.0
83,Bi,208.9804,2.02,6,15,87.0,p,1.6,p,-0.180198,0.5,s,-0.426129,1.0,d,-1.139408,1.0
84,Po,210.0,2.0,6,16,91.0,p,1.9,p,-0.217889,0.6666666666666666,s,-0.493528,1.0,d,-1.386458,1.0
85,At,210.0,2.2,6,17,96.0,p,,p,-0.255453,0.8333333333333334,s,-0.560189,1.0,d,-1.643758,1.0
86,Rn,220.0,2.2,6,18,6.0,p,,p,-0.29318,1.0,s,-0.62657,1.0,d,-1.911329,1.0
87,Fr,223.0,0.7,7,1,7.0,s,,s,-0.076176,0.5,p,-0.466197,1.0,s,-0.841848,1.0
88,Ra,226.0,0.9,7,2,13.0,s,2.15,s,-0.113732,1.0,p,-0.634674,1.0,s,-1.05135,1.0
89,Ac,227.0,1.1,9,3,48.0,f,1.95,s,-0.126551,1.0,d,-0.137786,0.1,p,-0.744524,1.0
90,Th,232.03806,1.3,9,4,47.0,f,1.8,s,-0.135872,1.0,d,-0.172896,0.2,p,-0.846921,1.0
91,Pa,231.03588,1.5,9,5,46.0,f,1.8,s,-0.129653,1.0,d,-0.142481,0.1,f,-0.316813,0.14285714285714285
92,U,238.02891,1.38,9,6,45.0,f,1.75,s,-0.130948,1.0,d,-0.14319,0.1,f,-0.366543,0.21428571428571427
